Unique ID,RA,Dec,Period (day),Period (min),Period error,Aliases,Double lined?,Eclipsing,Verific Binary/ LISA Detectable,Gmag,"Distance (pc, 1/p. bold for literature)",K1 (km/s),K1 error,K2 (km/s),K2 error,M1,M1 error,M2,M2 error,Mtotal,Mtotal error, Ref 1,Ref 2,Ref 3,Ref 4,SecureDWDbinary?,Comment,
J0308+5140,03 08 18.19,+51 40 11.5,0.8059,1160.496,0.00109,,N,N,,15.3,2278.1,78.9,2.7,,,0.151,0.024,>0.16,0.02,#VALUE!,0.031,2015ApJ...812..167G,,,,Y,,
NLTT 11748      ,03 45 16.83,+17 48 08.7,0.23550606,339.1287264,0.00000011,,N,Y,,16.6,181.6,273.4,0.5,,,0.153,0.007,0.729,0.008,0.882,0.011,2010ApJ...716L.146S,2014ApJ...780..167K,,,Y,i=89.9. First detached and eclipsing DWD binary (WD 0342+176),
J0151+1812,01 51 20.68,+18 12 47.95,0.14812,213.2928,0.00001,,N,?,,19.6,933.0,259.8,3.5,,,0.154,0.011,>0.47,,#VALUE!,0.011,2020ApJ...889...49B,,,,Y,,
J1236−0444,12 36 19.7,-04 44 37.9,0.68758,990.1152,0.00327,,N,?,,17.29,523.5602094,138,6.6,,,0.156,0.01,>0.37,0.04,#VALUE!,0.041,2020ApJ...894...53K,,,,Y,,
J2147+1859,21 47 28.48,+18 59 59.76,0.12879,185.4576,0.00002,,N,?,,19.6,2199.0,198.3,6.6,,,0.157,0.021,>0.27,,#VALUE!,0.021,2020ApJ...889...49B,,,,Y,,
J0112+1835,01 12 10.25,+18 35 03.8,0.14698,211.6512,0.00003,,N,?,,17.4,756.8,295.3,2,,,0.16,0.01,0.74,0.15,0.9,0.15,2012ApJ...744..142B,2016ApJ...824...46B,,,Y,,
J1249+2626,12 49 43.57,+26 26 04.3,0.22906,329.8464,0.00112,,N,?,,16.7,808.2,191.6,3.9,,,0.16,0.01,0.76,0.23,0.92,0.23,2015ApJ...812..167G,2016ApJ...824...46B,,,Y,,
SDSS2103-0027  ,21 03 08.79,-00 27 48.9,0.20308,292.4352,0.00023,,N,N,,18.5,1078.2,281,3.2,,,0.161,0.01,0.88,0.19,1.041,0.19,2012ApJ...751..141K,2016ApJ...824...46B,,,Y,,
J1631+0605,16 31 23.67,+06 05 33.8,0.24776,356.7744,0.00411,,N,N,,19.3,961.1,215.4,3.4,,,0.162,0.01,0.79,0.23,0.952,0.23,2016ApJ...818..155B,2016ApJ...824...46B,,,Y,,
J0500−0930,05 00 51.8,-09 30 56.98,0.39435,567.864,0.00001,,N,N,,12.62,71.58196135,146.8,8.3,,,0.163,0.01,>0.3,0.04,#VALUE!,0.041,2020ApJ...894...53K,,,,Y,Relativistic beaming in TESS data. 0.1% level,
PTF J0533+0209,05 33 32.06,+02 09 11.51,0.01430555556,20.6,,,N,N,D,19,1265.5,618.7,6.9,,,0.167,0.03,0.652,0.04,0.819,0.05,2020ApJ...905...32B,,,,Y,DBA spectroscopic feature,
J1514−1436,15 14 47.26,-14 36 26.77,0.58914,848.3616,0.00244,,N,?,,18.27,1754.385965,187.7,6.6,,,0.167,0.01,>0.63,0.06,#VALUE!,0.061,2020ApJ...894...53K,,,,Y,,
SDSS1005+3550  ,10 05 54.05,+35 50 14.4,0.17652,254.1888,0.00011,,N,N,,19,1763.6,143,2.3,,,0.168,0.01,0.75,0.24,0.918,0.24,2012ApJ...751..141K,2016ApJ...824...46B,,,Y,,
J1048−0000,10 48 26.86,-00 00 56.81,0.12063,173.7072,0.00001,,N,?,,18.3,707.0,312.8,8.1,,,0.169,0.016,>0.62,,#VALUE!,0.016,2020ApJ...889...49B,,,,Y,,
J0212+2657,02 12 16.04,+26 57 53.52,0.44908,646.6752,0.00197,,N,?,,19.4,804.0,202,11.5,,,0.17,0.012,>0.62,,#VALUE!,0.012,2020ApJ...889...49B,,,,Y,,
J1157+0546,11 57 34.46,+05 46 45.6,0.565,813.6,0.01925,1.23,N,?,,20,negative,158.3,4.9,,,0.17,,>0.44,,#VALUE!,0,2013ApJ...769...66B,,,,Y,,
J1449+1717,14 49 57.15,+17 17 29.3,0.29075,418.68,0.00001,,N,?,,17.7,613.4,228.5,3.2,,,0.171,0.01,0.83,0.21,1.001,0.21,2015ApJ...812..167G,2016ApJ...824...46B,,,Y,,
J1545+4301,15 45 21.10,+43 01 41.85,0.30931,445.4064,0.00016,,N,?,,19,939.0,154.8,4.1,,,0.174,0.01,>0.3,,#VALUE!,0.01,2020ApJ...889...49B,,,,Y,,
J2309+2603,23 09 19.90,+26 03 46.7,0.07653,110.2032,0.00001,,N,N,,19.3,negative,412.4,2.7,,,0.176,0.01,0.96,0.16,1.136,0.16,2016ApJ...818..155B,2016ApJ...824...46B,,,Y,,
J0042+3103,00 42 07.25,+31 03 29.45,0.29725,428.04,0.00018,,N,?,,18,545.0,204.2,5.2,,,0.176,0.01,>0.49,,#VALUE!,0.01,2020ApJ...889...49B,,,,Y,,
J0027−1516,00 27 51.75,-15 16 26.57,0.42458,611.3952,0.00014,,N,?,,17.1,518.0,155.4,6.3,,,0.176,0.01,>0.36,,#VALUE!,0.01,2020ApJ...889...49B,,,,Y,,
J1141+3850,11 41 55.56,+38 50 03.1,0.25958,373.7952,0.00005,,N,?,,19.2,1516.1,265.8,3.5,,,0.177,0.01,0.92,0.17,1.097,0.17,2013ApJ...769...66B,2016ApJ...824...46B,,,Y,,
J2245+0750,22 45 21.28,+07 50 48.74,0.39664,571.1616,0.00102,,N,?,,19.6,1547.0,220.5,10.1,,,0.178,0.01,>0.7,,#VALUE!,0.01,2020ApJ...889...49B,,,,Y,,
J0811+0225,08 11 33.56,+02 25 56.7,0.82194,1183.5936,0.00049,,N,N,,18.8,1838.8,220.7,2.5,,,0.179,0.01,1.28,0.1,1.459,0.1,2013ApJ...769...66B,2016ApJ...824...46B,,,Y,,
J1130+0933,11 30 27.96,+09 33 03.6,1.55935,2245.464,0.0014,,N,N,,17,negative,69,3.9,,,0.179,0.01,>0.19,,#VALUE!,0.01,2016ApJ...818..155B,,,,Y,,
J0056-0611,00 56 48.23,-06 11 41.6,0.04338,62.4672,0.00002,,N,?,,17.5,625.9,376.9,2.4,,,0.18,0.01,0.82,0.14,1,0.14,2013ApJ...769...66B,2016ApJ...824...46B,,,Y,,
GALEX J1717+6757 ,17 17 08.86,+67 57 11.4,0.246137,354.43728,0.000003,,N,Y,,13.3,178.6,,,,,0.18,0.01,0.9,,1.08,0.01,2011ApJ...737L..16V,,,,Y,,
J0940+6304,09 40 08.73,+63 04 27.4,0.48438,697.5072,0.00001,,N,N,,19.9,4106.7,210.4,3.2,,,0.18,0.01,0.9,0.18,1.08,0.18,2016ApJ...818..155B,2016ApJ...824...46B,,,Y,,
SDSS J022932.28+713002.7,02 29 32,+71 30 02.48,1.494595833,2152.218,0.000025,,N,N,,16.28,1625.0,169,3,,,0.18,0.02,1.19,0.21,1.37,0.211,2023arXiv231016313A,,,,N,photometric variability. unseen companion. ELM WD + WD or ELM WD + NS,
J2303−2614,23 03 23.542,−26 14 59.917,0.118195,170.2008,0.000032,,N,?,,13.8,320.5,302.9,2.3,,,0.18,0.01,>0.58,0.01,#VALUE!,0.014,2023ApJ...950..141K,,,,N,,
J2332+0427,23 32 46.56,+04 27 35.20,0.36792,529.8048,0.00009,,N,?,,18,1087.0,212.5,4.9,,,0.181,0.01,>0.61,,#VALUE!,0.01,2020ApJ...889...49B,,,,Y,,
SDSS0730+1703  ,07 30 32.89,+17 03 56.9,0.6977,1004.688,0.054,,N,N,,20,1329.8,122.8,4.3,,,0.182,0.01,0.76,0.24,0.942,0.24,2012ApJ...751..141K,2016ApJ...824...46B,,,Y,,
J0756+6704,07 56 10.71,+67 04 24.8,0.61781,889.6464,0.00002,,N,N,,16.4,2065.4,204.2,1.6,,,0.182,0.011,0.95,0.16,1.132,0.16,2015ApJ...812..167G,2016ApJ...824...46B,,,Y,,
J0642−5605,06 42 07.99,-56 05 47.44,0.13189,189.9216,0.00006,,N,?,,15.26,704.2253521,368,27,,,0.182,0.01,>0.96,0.17,#VALUE!,0.17,2020ApJ...894...53K,,,,Y,,
J0650−4925,06 50 51.48,-49 25 49.46,0.17453,251.3232,0.00028,,N,?,,17.07,1041.666667,284.2,39.4,,,0.182,0.01,>0.67,0.21,#VALUE!,0.21,2020ApJ...894...53K,,,,Y,,
J2339+2024,23 39 53.67,+20 24 44.84,0.79578,1145.9232,0.00008,,N,?,,18.2,1387.0,106.3,5,,,0.182,0.013,>0.28,,#VALUE!,0.013,2020ApJ...889...49B,,,,Y,,
J2104+1712,21 04 03.842,+17 12 32.17,0.2375,342,0.00022,,N,?,,18.2,357,286.6,6,,,0.183,0.01,>0.86,,#VALUE!,0.01,2022ApJ...933...94B,,,,Y,,
J1128+1743,11 28 23.33,+17 43 54.6,2.165,3117.6,0.039,,N,N,,19.6,1627.6,41.2,2,,,0.183,0.01,>0.11,,#VALUE!,0.01,2016ApJ...818..155B,,,,Y,,
J0125+2017,01 25 16.76,+20 17 44.6,0.88758,1278.1152,0.00004,,N,N,,17.4,4528.3,65.4,2.1,,,0.184,0.01,>0.14,,#VALUE!,0.01,2016ApJ...818..155B,,,,Y,,
J0441−0547,04 41 32.63,-05 47 34.95,1.31997,1900.7568,0.0006,1.55179,N,?,,18.3,4733.0,242.7,18.1,,,0.185,0.011,>2.28,,#VALUE!,0.011,2020ApJ...889...49B,,,,N,"M2min high, but multiple aliases",
LP 400-22      ,22 36 29.93,+22 32 24.6,1.01016,1454.6304,0.00005,,N,N,,17.2,365.8,119.9,2,,,0.186,0.01,0.77,0.23,0.956,0.23,2009ApJ...695L..92K,2009A&A...507.1613V,2016ApJ...824...46B,,Y,WD2236+2232,
J1151+5858,11 51 38.39,+58 58 53.4,0.66902,963.3888,0.0007,,N,N,,20.3,930.7,175.7,5.9,,,0.186,0.011,0.85,0.19,1.036,0.19,2013ApJ...769...66B,2016ApJ...824...46B,,,Y,,
J0050+2147,00 50 46.85,+21 47 25.66,0.36059,519.2496,0.00002,,N,?,,20.1,4102.0,183.7,6.6,,,0.186,0.01,>0.46,,#VALUE!,0.01,2020ApJ...889...49B,,,,N,,
J2132+0754,21 32 28.36,+07 54 28.3,0.25056,360.8064,0.00002,,N,?,,18.3,1221.3,297.3,3,,,0.187,0.01,1.07,0.13,1.257,0.13,2013ApJ...769...66B,2016ApJ...824...46B,,,Y,,
WD J0106-1000,01 06 57.39,-10 00 03.3,0.027153,39.10032,0.00002,,N,N,D,19.9,832.6,395.2,3.6,,,0.188,0.011,0.57,0.22,0.758,0.22,2011MNRAS.413L.101K,2016ApJ...824...46B,,,Y,Problem with SIMBAD coords / IDs,
J0101+0401,01 01 28.69,+04 01 59.00,0.18332,263.9808,0.00284,,N,?,,17.2,1245,199.5,7.1,,,0.188,0.013,>0.35,,#VALUE!,0.013,2022ApJ...933...94B,,,,N,,
J2339−0347,23 39 38.45,-03 47 34.51,0.67069,965.7936,0.00078,,N,?,,18.5,1882.0,139.7,6,,,0.188,0.016,>0.41,,#VALUE!,0.016,2020ApJ...889...49B,,,,N,,
J2151+2730,21 51 11.472,+27 30 14.45,0.51593,742.9392,0.00316,,N,?,,17,1546,203.9,6.7,,,0.189,0.01,>0.72,,#VALUE!,0.01,2022ApJ...933...94B,,,,N,,
J1121+6052,11 21 57.163,+60 52 10.265,0.084511,121.69584,0.000013,,N,?,,16,751.9,183.5,2.6,,,0.19,0.01,>0.2,0.01,#VALUE!,0.014,2023ApJ...950..141K,,,,N,,
J0450−0145,04 50 13.108,−01 45 48.150,0.192169,276.72336,0.00004,,N,?,,17.7,1098.9,260.2,3.3,,,0.19,0.02,>0.61,0.02,#VALUE!,0.028,2023ApJ...950..141K,,,,N,,
J1129+4715,11 29 14.162,+47 15 01.726,0.238823,343.90512,0.000032,,N,?,,16.1,847.5,185.8,4.4,,,0.19,0.01,>0.37,0.02,#VALUE!,0.022,2023ApJ...950..141K,,,,N,,
J0517−1153,05 17 24.974,−11 53 25.849,0.250521,360.75024,0.000001,,N,?,,16.2,680.3,309.7,3.1,,,0.19,0.02,>1.07,0.04,#VALUE!,0.045,2023ApJ...950..141K,,,,N,,
J1255−1853,12 55 39.147,−18 53 32.101,0.363739,523.78416,0.001501,,N,?,,17.8,1818.2,230.8,6.2,,,0.19,0.01,>0.73,0.04,#VALUE!,0.041,2023ApJ...950..141K,,,,N,,
J0130+5321,01 30 58.17,+53 21 38.37,0.19205,276.552,0.0002,,N,?,,14.3,85.0,209.1,5.1,,,0.191,0.013,>0.4,,#VALUE!,0.013,2020ApJ...889...49B,,,,Y,,
J0840+1527,08 40 37.57,+15 27 04.5,0.52155,751.032,0.00474,0.34,N,?,,19.4,negative,84.8,3.1,,,0.192,0.01,0.75,0.24,0.942,0.24,2013ApJ...769...66B,2016ApJ...824...46B,,,Y,,
WD J0751-0141,07 51 41.18,-01 41 20.9,0.08001,115.2144,0.00279,,N,Y,,17.6,1785.5,432.6,2.3,,,0.194,0.01,0.98,0.01,1.174,0.014,2013ApJ...769...66B,2016ApJ...824...46B,,,Y,SDSS J075141.18-014120.9,
J0802-0955,08 02 50.14,-09 55 49.8,0.54687,787.4928,0.00455,,N,?,,19,993.5,176.5,4.5,,,0.197,0.012,0.82,0.21,1.017,0.21,2013ApJ...769...66B,2016ApJ...824...46B,,,Y,,
J1241+0633,12 41 24.29,+06 33 51.0,0.95912,1381.1328,0.00028,,N,N,,17.9,422.3,138.2,4.8,,,0.199,0.012,0.8,0.22,0.999,0.22,2016ApJ...818..155B,2016ApJ...824...46B,,,Y,,
J0815+2309,08 15 44.24,+23 09 05.1,1.07357,1545.9408,0.00018,,N,N,,18,2117.3,131.7,2.6,,,0.199,0.021,0.8,0.22,0.999,0.221,2013ApJ...769...66B,2016ApJ...824...46B,,,Y,,
WD2253−081,22 55 49.49,-07 50 03.3,,,,,N,?,,16.4,36.0,,,,,0.2,,,,0.2,0,2017MNRAS.467.1414M,,,,N,Spectra in SPY,
ZTF J2320+3750,23 20 20.43,+37 50 30.84,0.03836573843,55.24666333,,,N,N,,19.4,1443.4,466,9,,,0.2,0.01,0.69,0.03,0.89,0.032,2020ApJ...905...32B,,,,Y,,
J1240−0958,12 40 32.501,−09 58 59.603,0.400383,576.55152,0.002945,,N,?,,19,769.2,209.8,6.1,,,0.2,0.02,>0.65,0.04,#VALUE!,0.045,2023ApJ...950..141K,,,,N,,
J2306+0224,23 06 37.879,+02 24 29.61,0.28728,413.6832,0.00009,,N,?,,16.9,1105,148.3,5.7,,,0.201,0.015,>0.28,,#VALUE!,0.015,2022ApJ...933...94B,,,,Y,,
J0806−0716,08 06 50.022,-07 16 36.11,0.70555,1015.992,0.01554,,N,?,,18.1,1027,170.7,11.2,,,0.203,0.027,>0.63,,#VALUE!,0.027,2022ApJ...933...94B,,,,Y,,
WD J1053+5200,10 53 53.89,+52 00 31.0,0.04256,61.2864,0.00002,,N,N,,19.1,3816.9,264,2,,,0.204,0.012,0.75,0.24,0.954,0.24,2009ApJ...707L..51M,2010ApJ...716..122K ,2010ApJ...723.1072B,2016ApJ...824...46B,Y,WD 1050+522 (SDSS J105353.89+520031.0),
J1238+1946,12 38 00.09,+19 46 31.4,0.22275,320.76,0.00009,,N,?,,17.5,2210.6,258.6,2.5,,,0.21,0.011,0.87,0.19,1.08,0.19,2013ApJ...769...66B,2016ApJ...824...46B,,,Y,,
J0135+2359,01 35 00.856,+23 59 46.091,1.177655,1695.8232,0.009923,,N,?,,18.7,847.5,178.9,6.4,,,0.21,0.04,>1.02,0.09,#VALUE!,0.098,2023ApJ...950..141K,,,,N,,
J1401−0817,14 01 18.80,-08 17 23.43,0.11299,162.7056,0.00001,,N,?,,16.5,555.0,346.2,2.7,,,0.216,0.042,>0.79,,#VALUE!,0.042,2020ApJ...889...49B,,,,Y,,
J1808+2723,18 08 38.994,+27 23 12.216,0.098787,142.25328,0.000053,,N,?,,15.5,354.6,187.2,3,,,0.22,0.04,>0.24,0.02,#VALUE!,0.045,2023ApJ...950..141K,,,,N,,
J0338+4134,03 38 47.068,+41 34 24.10,0.1253132,180.451008,0.0000001,,N,N,,15.1,596.0,289,4,,,0.22,0.05,~0.7,,#VALUE!,0.05,2022ApJ...936....5W,2023MNRAS.526.5471Y,,,Y,,
J1553+6736,15 53 28.008,+67 36 10.560,0.174522,251.31168,0.000431,,N,?,,16.5,423.7,91.6,5.4,,,0.22,0.04,>0.12,0.01,#VALUE!,0.041,2023ApJ...950..141K,,,,N,,
J0256+4405,02 56 35.153,+44 05 27.363,0.26126,376.2144,0.000087,,N,?,,15.8,714.3,243.7,3.8,,,0.22,0.02,>0.68,0.03,#VALUE!,0.036,2023ApJ...950..141K,,,,N,,
J0155−4148,01 55 34.866,-41 48 18.433,0.343865,495.1656,0.000317,,N,?,,15.7,480.8,220.4,3.7,,,0.22,0.02,>0.67,0.03,#VALUE!,0.036,2023ApJ...950..141K,,,,N,,
J2348+2804,23 48 52.3,+28 04 38.41,0.92013,1324.9872,0.01532,,N,?,,18.6,1365,89.3,12.2,,,0.22,0.037,>0.25,,#VALUE!,0.037,2022ApJ...933...94B,,,,Y,,
J1234-0228     ,12 34 10.37,-02 28 02.9,0.0914,131.616,0.004,,N,?,,18,783.2,94,2.3,,,0.227,0.014,0.75,0.24,0.977,0.24,2011ApJ...727....3K,2011ApJ...727....3K,,,Y,,
WD1210+140     ,12 12 33.88,+13 46 24.9,0.64194,924.3936,0.00003,,N,N,,14.7,211.5,131,3,,,0.23,,>0.38,,#VALUE!,0,2005A&A...440.1087N,,,,Y,In SPY,
J1021+0543,10 21 53.12,+05 43 22.28,1.24995,1799.928,0.0041,,N,?,,19.4,1420.0,95.6,11.6,,,0.23,0.013,>0.33,,#VALUE!,0.013,2020ApJ...889...49B,,,,Y,,
J0930−8107,09 30 08.47,-81 07 38.32,0.08837,127.2528,0.00005,,N,?,,16.25,854.7008547,212,9,,,0.238,0.01,>0.29,0.03,#VALUE!,0.032,2020ApJ...894...53K,,,,Y,,
J0147+0113,01 47 20.47,+01 13 58.28,1.30338,1876.8672,0.00483,0.57599,N,?,,20.2,809.0,145.9,15.7,,,0.24,0.012,>0.74,,#VALUE!,0.012,2020ApJ...889...49B,,,,Y,,
J2322+2103,23 22 08.733,+21 03 52.81,0.0222,31.968,0.00025,,N,?,D,18.6,884,248.1,4.3,,,0.25,0.021,>0.19,,#VALUE!,0.021,2022ApJ...933...94B,,,,Y,,
J0116+4249,01 16 00.83,+42 49 38.32,0.334,480.96,0.00015,,N,?,,18.3,4506,237.8,4.6,,,0.256,0.028,>0.81,,#VALUE!,0.028,2022ApJ...933...94B,,,,Y,,
J0526+5934,05 26 10.417,+59 34 45.31,,20.5062426,0.0000053,N,N,N,Y,17.56,847.5,565.2,3.2,,,0.257,0.049,0.71,0.07,0.967,0.085,2024NatAs.tmp...35L,2023ApJ...959..114K,2024arXiv240204443R,,N,WD+Subdwarf or DWD,
WD J2338-2052,23 38 21.50,-20 52 22.8,0.07644,110.0736,0.00712,,N,N,,19.9,655.0,133.4,7.5,,,0.258,0.015,0.75,0.24,1.008,0.24,2013ApJ...769...66B,2016ApJ...824...46B,,,Y,,
J1906+6239,19 06 00.874,+62 39 23.71,0.32939,474.3216,0.00005,,N,?,,17.6,246,271.2,3,,,0.259,0.04,>1.06,,#VALUE!,0.04,2022ApJ...933...94B,,,,Y,,
